date;mois;jour_semaine;admissions_urgences;lits_occupes;lits_total;taux_occupation;sorties_patient;duree_sejour_moyen;revenus_jour;grippe_saison;epidemies;temperature;urgences_pediatriques;reanimation_occupes;stock_masques;stock_oxygene;stock_medicaments;stock_consommables;stocks_materiel;ide_dispo;medecins_dispo;personnel_dispo;personnel_rea;absences_personnel;conso_masques_par_patient;conso_masques_jour;conso_oxygene_par_patient;conso_oxygene_jour;ratio_ide_patients;besoins_ide;deficit_ide;ratio_medecins_patients;besoins_medecins;deficit_medecins;alerte_stocks;alerte_personnel;alerte_saturation;scenario;vacances_zone_c;nom_vacances;trend_fievre;trend_covid;trend_gastro;trend_grippe;trend_toux
01/01/2019;1;1;215;968;1800;53.8;222;4.5;205379;30;0;18.2;75;96;2845;1027;7771;1822;62.4;241;127;368;49;18;9.3;2000;2.6;559;0.8;172;0;0.3;64;0;0;0;0;grève;True;Vacances de Noël;1;0;2;2;1
02/01/2019;1;2;231;1004;1800;55.8;252;5.6;200578;27;0;8.7;78;100;2989;1674;8700;2186;67.1;247;130;377;51;10;6.4;1478;2.6;601;0.8;185;0;0.3;69;0;0;0;0;grève;True;Vacances de Noël;1;0;2;2;1
03/01/2019;1;3;205;976;1800;54.2;193;4.6;182601;24;0;8.1;72;97;3582;1193;7600;2051;62.1;245;123;368;56;11;7.3;1496;3.4;697;0.8;164;0;0.3;62;0;0;0;0;grève;True;Vacances de Noël;1;0;2;2;1
04/01/2019;1;4;228;989;1800;54.9;240;5.5;234886;35;0;17.6;68;98;3003;1699;7069;1639;69.5;247;130;377;60;12;6.0;1368;2.7;616;0.8;182;0;0.3;68;0;0;0;0;grève;True;Vacances de Noël;1;0;2;2;1
05/01/2019;1;5;242;1009;1800;56.1;238;6.1;234589;22;0;16.9;66;100;3098;1242;6314;1777;48.7;258;110;368;58;7;8.8;2130;2.2;532;0.8;194;0;0.3;73;0;0;0;0;grève;True;Vacances de Noël;1;0;2;2;1
06/01/2019;1;6;212;1000;1800;55.6;185;4.0;213266;32;0;17.0;78;100;2904;1295;7752;1603;69.7;224;97;321;43;12;10.7;2268;4.0;848;0.8;170;0;0.3;64;0;0;0;0;grève;True;Vacances de Noël;1;0;2;2;1
07/01/2019;1;0;219;998;1800;55.4;236;2.0;190151;31;0;17.7;75;99;3912;1422;8185;1501;70.9;273;135;408;57;16;5.1;1117;3.1;679;0.8;175;0;0.3;66;0;0;0;0;hiver;False;;1;0;2;2;1
08/01/2019;1;1;227;1005;1800;55.8;232;3.3;241792;33;0;7.1;84;100;3653;1179;5846;2047;50.4;227;119;346;56;18;5.7;1294;3.1;704;0.8;182;0;0.3;68;0;0;0;0;grève;False;;1;0;2;2;1
09/01/2019;1;2;237;1009;1800;56.1;223;6.3;270421;45;0;7.1;82;100;3722;911;7215;2054;50.6;252;122;374;62;12;6.6;1564;3.1;735;0.8;190;0;0.3;71;0;0;0;0;grève;False;;1;0;2;2;1
10/01/2019;1;3;224;1022;1800;56.8;260;4.4;202311;33;0;10.9;64;102;3537;1306;6495;1870;59.3;234;120;354;49;19;10.0;2240;3.7;829;0.8;179;0;0.3;67;0;0;0;0;grève;False;;1;0;2;2;1
11/01/2019;1;4;232;1024;1800;56.9;187;4.0;231213;24;0;11.8;54;102;2597;1379;6129;1854;61.6;277;133;410;59;20;11.3;2622;2.0;464;0.8;186;0;0.3;70;0;0;0;0;hiver;False;;1;0;2;2;1
12/01/2019;1;5;221;1011;1800;56.2;204;6.3;263037;30;0;11.5;69;101;2992;1644;8703;1721;55.3;241;106;347;55;15;10.3;2276;1.6;354;0.8;177;0;0.3;66;0;0;0;0;grève;False;;1;0;2;2;1
13/01/2019;1;6;242;1030;1800;57.2;199;4.3;225858;37;0;15.2;82;103;2713;1035;7805;1840;57.2;230;99;329;46;14;8.7;2105;2.5;605;0.8;194;0;0.3;73;0;0;0;0;grève;False;;1;0;2;2;1
14/01/2019;1;0;244;1046;1800;58.1;270;2.0;253277;35;0;18.7;86;104;2919;1384;6587;2374;39.6;270;116;386;61;13;5.7;1391;2.9;708;0.8;195;0;0.3;73;0;0;0;0;hiver;False;;1;0;2;2;1
15/01/2019;1;1;231;1048;1800;58.2;249;2.2;193134;35;0;13.2;83;104;3680;1286;7098;2147;64.5;236;124;360;63;18;10.3;2379;2.2;508;0.8;185;0;0.3;69;0;0;0;0;grève;False;;1;0;2;2;1
16/01/2019;1;2;251;1058;1800;58.8;234;5.1;261644;36;0;11.3;65;105;2255;1253;6734;1722;61.3;239;124;363;63;24;5.7;1431;3.2;803;0.8;201;0;0.3;75;0;0;0;0;grève;False;;1;0;2;2;1
17/01/2019;1;3;221;1056;1800;58.7;236;4.4;184723;31;0;18.0;66;105;2940;1531;6447;1846;72.4;226;126;352;56;11;7.4;1635;1.7;376;0.8;177;0;0.3;66;0;0;0;0;grève;False;;1;0;2;2;1
18/01/2019;1;4;233;1056;1800;58.7;223;6.7;275801;30;0;13.8;65;105;2938;1198;6771;1722;62.7;260;118;378;64;14;7.2;1678;3.5;816;0.8;186;0;0.3;70;0;0;0;0;grève;False;;1;0;2;2;1
19/01/2019;1;5;237;1066;1800;59.2;261;3.4;257445;24;0;15.5;80;106;2446;1322;7783;1391;54.4;209;95;304;52;13;7.5;1778;3.3;782;0.8;190;0;0.3;71;0;0;0;0;grève;False;;1;0;2;2;1
